t=2025-12-15T16:06:43+0500 lvl=info msg="no configuration paths supplied"
t=2025-12-15T16:06:43+0500 lvl=info msg="using configuration at default config path" path="/Users/talha/Library/Application Support/ngrok/ngrok.yml"
t=2025-12-15T16:06:43+0500 lvl=info msg="open config file" path="/Users/talha/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-12-15T16:08:20+0500 lvl=info msg="join connections" obj=join id=a6fa030ca584 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:08:20+0500 lvl=info msg="join connections" obj=join id=eb7deee621e8 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:08:20+0500 lvl=info msg="join connections" obj=join id=5b22b72ad377 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:59210
t=2025-12-15T16:08:20+0500 lvl=info msg="join connections" obj=join id=55c9e837d8fb l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:08:20+0500 lvl=info msg="join connections" obj=join id=2723b83a325a l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:59210
t=2025-12-15T16:08:20+0500 lvl=info msg="join connections" obj=join id=726eebc7b391 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:59210
t=2025-12-15T16:08:20+0500 lvl=info msg="join connections" obj=join id=07f99ae7d68a l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:08:21+0500 lvl=info msg="join connections" obj=join id=9943d76eb947 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:57926
t=2025-12-15T16:08:21+0500 lvl=info msg="join connections" obj=join id=c7464800dd68 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:08:21+0500 lvl=info msg="join connections" obj=join id=bfabfbf52a45 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:59210
t=2025-12-15T16:08:21+0500 lvl=info msg="join connections" obj=join id=9a5bbaa3617a l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:59210
t=2025-12-15T16:08:21+0500 lvl=info msg="join connections" obj=join id=ec290ffb37a8 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:59210
t=2025-12-15T16:08:29+0500 lvl=info msg="join connections" obj=join id=421d4bc05034 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:59210
t=2025-12-15T16:08:29+0500 lvl=info msg="join connections" obj=join id=cfa7fa2ff757 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:59210
t=2025-12-15T16:08:29+0500 lvl=info msg="join connections" obj=join id=7955e293c79e l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:59210
t=2025-12-15T16:09:03+0500 lvl=info msg="join connections" obj=join id=7170178e3495 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:09:03+0500 lvl=info msg="join connections" obj=join id=06638384ca29 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:09:05+0500 lvl=info msg="join connections" obj=join id=69e3362e427d l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:09:07+0500 lvl=info msg="join connections" obj=join id=23e408919441 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:09:09+0500 lvl=info msg="join connections" obj=join id=2b7358c84bd4 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:09:11+0500 lvl=info msg="join connections" obj=join id=2e5f7f6b2a00 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:09:13+0500 lvl=info msg="join connections" obj=join id=ebb47d0f7e98 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:09:15+0500 lvl=info msg="join connections" obj=join id=204eb55b2a76 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
